fname,group,Order,comments,sdkproposed field,Formula
account_id,setting,,,,
account_name,setting,,,,
buying_type,Campaign,,,,
campaign_id,setting,,,,
campaign_name,setting,,,,
cost_per_total_action,Performance,,,,
cpm,Performance,,,,
cpp,Performance,,,,
date_start,setting,,,,
date_stop,setting,,,,
frequency,Performance,,,,
impressions,Performance,,,,
objective,Campaign,,,,
reach,Performance,2,Reach,,
relevance_score,Performance,,,,
social_impressions,Performance,,,,
social_reach,Performance,,,,
spend,Performance,,,,
total_actions,Performance,,,,
total_unique_actions,Performance,5,People Taking actions,,
call_to_action_clicks,Delivery-No,,,,
canvas_avg_view_percent,Delivery-No,,,,
canvas_avg_view_time,Delivery-No,,,,
clicks,Delivery-No,,,,
cost_per_estimated_ad_recallers,Delivery-No,,,,
cost_per_unique_click,Delivery-No,,,,
cpc,Delivery-No,,,,
ctr,Delivery-No,,,,
estimated_ad_recallers,Delivery-No,,,,
estimated_ad_recall_rate,Delivery-No,,,,
social_clicks,Delivery-No,,,,
unique_clicks,Delivery-No,,,,
unique_ctr,Delivery-No,,,,
unique_link_clicks_ctr,Delivery-No,,,,
unique_social_clicks,Delivery-No,,,,
actions,Engagement-PagePost,,,,
actions,Delivery-No,,,,
unique_actions,Delivery-No,,,,
canvas_component_avg_pct_view,Delivery-No,,,,
cost_per_action_type,Delivery-No,,,,
cost_per_outbound_click,Delivery-No,,,,
cost_per_unique_action_type,Delivery-No,,,,
cost_per_unique_outbound_click,Delivery-No,,,,
cost_per_10_sec_video_view,Delivery-No,,,,
outbound_clicks,Delivery-No,,,,
outbound_clicks_ctr,Delivery-No,,,,
unique_outbound_clicks,Delivery-No,,,,
unique_outbound_clicks_ctr,Delivery-No,,,,
video_avg_percent_watched_actions,Delivery-No,,,,
video_avg_time_watched_actions,Delivery-No,,,,
video_p100_watched_actions,Delivery-No,,,,
video_p25_watched_actions,Delivery-No,,,,
video_p50_watched_actions,Delivery-No,,,,
video_p75_watched_actions,Delivery-No,,,,
video_p95_watched_actions,Delivery-No,,,,
video_10_sec_watched_actions,Delivery-No,,,,
video_30_sec_watched_actions,Delivery-No,,,,
website_ctr,Delivery-No,,,,
reach,Delivery,1,,,
frequency,Delivery,2,,,
cpp,Delivery,3,,,
impressions,Delivery,4,,,
cpm,Delivery,5,,,
impressions,VideoEngagement,1,,,
reach,VideoEngagement,2,,,
canvas_avg_view_percent,VideoEngagement,3,canvas view percentage,,
canvas_avg_view_time,VideoEngagement,4,canvas view time,,
actions,VideoEngagement,5,3 second video views  actions_video_view  ,,
canvas_component_avg_pct_view,VideoEngagement,6,Canvas percent view,canvas_component_avg_pct_view:canvas_view,
video_avg_percent_watched_actions,VideoEngagement,7,video avg per time,video_avg_percent_watched_actions:video_view,
video_avg_time_watched_actions,VideoEngagement,8,video avg watched time,video_avg_time_watched_actions:video_view,
video_p100_watched_actions,VideoEngagement,9,videos watches 100%,video_p100_watched_actions:video_view,
video_p25_watched_actions,VideoEngagement,10,videos watches 25%,video_p25_watched_actions:video_view,
video_p50_watched_actions,VideoEngagement,11,videos watches 50%,video_p50_watched_actions:video_view,
video_p75_watched_actions,VideoEngagement,12,videos watches 75%,video_p75_watched_actions:video_view,
video_p95_watched_actions,VideoEngagement,13,videos watches 95%,video_p95_watched_actions:video_view,
video_10_sec_watched_actions,VideoEngagement,14,video 10 sec watched,video_10_sec_watched_actions:video_view,
video_30_sec_watched_actions,VideoEngagement,15,video 30 sec watched,video_30_sec_watched_actions:video_view,
cost_per_action_type,VideoEngagement,16,cost per 3 sec video,cost_per_action_type:video_view,
cost_per_10_sec_video_view,VideoEngagement,17,cost per 10 sec video,cost_per_10_sec_video_view:video_view,
actions,AppEngagement,,mobile app actions,actions:app_custom_event,
actions,AppEngagement,,desktop app installs,actions:app_install,
actions,AppEngagement,,mobile app installs,actions:mobile_app_install,
actions,AppEngagement,,post shares,actions:post,
actions,AppEngagement,,post comment,actions:comment,
actions,AppEngagement,,post reaction,actions:post_reaction,
cost_per_action_type,AppEngagement,,cost per mobile app engagement,cost_per_action_type:app_custom_event,
cost_per_action_type,AppEngagement,,cost per desktop app engagement,cost_per_action_type:app_engagement,
cost_per_action_type,AppEngagement,,cost per desktop app install,cost_per_action_type:app_install,
cost_per_action_type,AppEngagement,,cost per mobile app install,cost_per_action_type:mobile_app_install,
reach,CarouselEngagement,,Reach,reach,
frequency,CarouselEngagement,,Frequency,frequency,
impressions,CarouselEngagement,,Impressions,impressions,
actions,CarouselEngagement,,mobile app installs,"    'actions:mobile_app_install',",
cost_per_action_type,CarouselEngagement,,cost per desktop app install,"    'cost_per_action_type:app_install',",
cost_per_action_type,CarouselEngagement,,cost per mobile app install,"    'cost_per_action_type:mobile_app_install',",
clicks,CarouselEngagement,,Clicks(All),"    'clicks',",
cpc,CarouselEngagement,,CPC(All),"    'cpc',",
cpm,CarouselEngagement,,CPM(Cost per 1000 impresssions),"    'cpm',",
cpp,CarouselEngagement,,Cost per 1000 People Reached,"    'cpp',",
ctr,CarouselEngagement,,CTR (All),"    'ctr',",
spend,CarouselEngagement,,Amount Spent,"    'spend',",
total_actions,CarouselEngagement,,Actions,"    'total_actions',",
total_unique_actions,CarouselEngagement,,People Taking actions,"    'total_unique_actions',",
unique_clicks,CarouselEngagement,,Unique Clicks(All),"    'unique_clicks',",
unique_ctr,CarouselEngagement,,Unique CTR(All),"    'unique_ctr',",
actions,CarouselEngagement,,,"    'actions:leadgen_other',",
actions,CarouselEngagement,,Link Clicks,"    'actions:link_click',",
cost_per_action_type,CarouselEngagement,,Cost Per Desktop App Story Engagement,"    'cost_per_action_type:app_story',",
cost_per_action_type,CarouselEngagement,,,"    'cost_per_action_type:leadgen_other',",
cost_per_unique_outbound_click,CarouselEngagement,,Cost Per Unique Outbound Click,"    'cost_per_unique_outbound_click:outbound_click',",
website_ctr,CarouselEngagement,,,"    'website_ctr:link_click',",
actions,PerformanceandClicks,,Results,actions:like,
reach,PerformanceandClicks,,Reach,,
frequency,PerformanceandClicks,,Frequency,,
cost_per_action_type,PerformanceandClicks,,Cost per result,cost_per_action_type:like,
spend,PerformanceandClicks,,Amount spent,,
ctr,PerformanceandClicks,,CTR All,,
cpc,PerformanceandClicks,,,,
impressions,PerformanceandClicks,,,,
cpm,PerformanceandClicks,,,,
actions,PerformanceandClicks,,Link Clicks,"    'actions:link_click',",
cost_per_unique_click,PerformanceandClicks,,CPC (Cost per Link Click),,
unique_ctr,PerformanceandClicks,,CTR (Link Click-Through Rate),,
actions,PerformanceandClicks,,Page Likes,actions:like,
actions,CrossDevice,,mobile app installs,"    'actions:mobile_app_install',",
impressions,MessengerEngagement,,impresssions,,
actions,MessengerEngagement,,Link Clicks,"    'actions:link_click',",
actions,MessengerEngagement,,Messaging Replies,messenger.reply,
actions,MessengerEngagement,,Blocked Messaging Conversations,onsite_conversion.messaging_block,
actions,MessengerEngagement,,New Messaging Conversations,cnsite_conversion.messaging_first_reply,
actions,MessengerEngagement,,On-Facebook Purchases,onsite_conversion.purchase,
cost_per_action_type,MessengerEngagement,,Cost per On-Facebook Purchase,onsite_conversion.purchase,
spend,MessengerEngagement,,On-Facebook Purchase Conversion Value,,Total Amount spent / On-FacebookPurchases 
account_id,Performance,,Extra,,
account_name,Performance,,Extra,,
action_values,Performance,,Extra,,
actions,Performance,1,Results,actions_post_engagement,
ad_id,Performance,,Extra,,
ad_name,Performance,,Extra,,
adset_id,Performance,,Extra,,
adset_name,Performance,,Extra,,
buying_type,Performance,,Extra,,
call_to_action_clicks,Performance,,Extra,,
campaign_id,Performance,,Extra,,
campaign_name,Performance,,Extra,,
canvas_avg_view_percent,Performance,,Extra,,
canvas_avg_view_time,Performance,,Extra,,
canvas_component_avg_pct_view,Performance,,Extra,,
clicks,Performance,,Extra,,
cost_per_10_sec_video_view,Performance,,Extra,,
cost_per_action_type,Performance,3,Cost Per Result,cost_per_action_type_post_engagement,
cost_per_estimated_ad_recallers,Performance,,Extra,,
cost_per_inline_link_click,Performance,,Extra,,
cost_per_inline_post_engagement,Performance,,Extra,,
cost_per_outbound_click,Performance,,Extra,,
cost_per_total_action,Performance,,Extra,,
cost_per_unique_action_type,Performance,,Extra,,
cost_per_unique_click,Performance,,Extra,,
cost_per_unique_inline_link_click,Performance,,Extra,,
cost_per_unique_outbound_click,Performance,,Extra,,
cpc,Performance,,Extra,,
cpm,Performance,,Extra,,
cpp,Performance,,Extra,,
ctr,Performance,,Extra,,
date_start,Performance,,Extra,,
date_stop,Performance,,Extra,,
estimated_ad_recallers,Performance,,Extra,,
estimated_ad_recall_rate,Performance,,Extra,,
frequency,Performance,,Extra,,
impressions,Performance,,Extra,,
inline_link_click_ctr,Performance,,Extra,,
inline_link_clicks,Performance,,Extra,,
inline_post_engagement,Performance,,Extra,,
mobile_app_purchase_roas,Performance,,Extra,,
objective,Performance,,Extra,,
outbound_clicks,Performance,,Extra,,
outbound_clicks_ctr,Performance,,Extra,,
place_page_name,Performance,,Extra,,
reach,Performance,,Extra,,
relevance_score,Performance,,Extra,,
social_clicks,Performance,,Extra,,
social_impressions,Performance,,Extra,,
social_reach,Performance,,Extra,,
social_spend,Performance,,Extra,,
spend,Performance,4,Amount Spent,spend,
total_action_value,Performance,,Extra,,
total_actions,Performance,,Extra,,
total_unique_actions,Performance,,Extra,,
unique_actions,Performance,,Extra,,
unique_clicks,Performance,,Extra,,
unique_ctr,Performance,,Extra,,
unique_link_clicks_ctr,Performance,,Extra,,
unique_outbound_clicks,Performance,,Extra,,
unique_outbound_clicks_ctr,Performance,,Extra,,
unique_social_clicks,Performance,,Extra,,
video_10_sec_watched_actions,Performance,,Extra,,
video_15_sec_watched_actions,Performance,,Extra,,
video_30_sec_watched_actions,Performance,,Extra,,
video_avg_percent_watched_actions,Performance,,Extra,,
video_avg_time_watched_actions,Performance,,Extra,,
video_p100_watched_actions,Performance,,Extra,,
video_p25_watched_actions,Performance,,Extra,,
video_p50_watched_actions,Performance,,Extra,,
video_p75_watched_actions,Performance,,Extra,,
video_p95_watched_actions,Performance,,Extra,,
website_ctr,Performance,,Extra,,
website_purchase_roas,Performance,,Extra,,
